Cycle number,Charge Capacity (Ah),Discharge Capacity (Ah),C-rate,Specific Charge Capacity (mAh/g),Specific Discharge Capacity (mAh/g),Coulombic Efficiency (%),Electrode Type
1,0.0014165,0.001558,SEI,401.90097886225,442.0485175202157,109.98941051888458,Calendered
2,0.0014185,0.0014354,SEI,402.468435239041,407.2634416229253,101.19139936552696,Calendered
4,0.0014107,0.0014162,Stress Prep,400.255355369556,401.81586040573137,100.38987736584674,Calendered
5,0.0014096,0.0014145,Stress Prep,399.9432543623209,401.33352248545896,100.34761634506242,Calendered
6,0.0014103,0.0014147,Stress Prep,400.1418640941978,401.39026812313807,100.31199035666172,Calendered
8,0.0013792,0.0013819,C/2,391.3179174350972,392.083983543765,100.1957656612529,Calendered
9,0.0013819,0.0013843,C/2,392.083983543765,392.7649311959144,100.17367392720168,Calendered
10,0.001383,0.0013855,C/2,392.3960845510002,393.105405021989,100.18076644974694,Calendered
12,0.0013226,0.0013245,C,374.6914455951199,375.1737835153922,100.12872936543997,Calendered
13,0.0013206,0.0013223,C,374.6914455951199,375.17378351539224,100.12872936543995,Calendered
14,0.0013222,0.0013239,C,375.1454106965528,375.6277486168252,100.1285735894721,Calendered
16,0.0011496,0.0011507,2C,326.17392537948643,326.4860263867216,100.09568545581072,Calendered
17,0.0011635,0.0011648,2C,330.1177471981842,330.4865938430983,100.1117318435754,Calendered
18,0.0011868,0.0011881,2C,336.7286139877997,337.09746063271393,100.10953825412876,Calendered
20,0.0008822,0.0008829,4C,250.3050078025252,250.50361753440208,100.0793470868284,Calendered
21,0.000809,0.000809,4C,229.53610441197333,229.53610441197333,100.0,Calendered
22,0.000775,0.0007753,4C,219.88934600652576,219.97446446304443,100.03870967741936,Calendered
24,0.0013829,0.001385,C/2,392.3677117321607,392.9635409277912,100.15185479788848,Calendered
25,0.0013841,0.0013862,C/2,392.7081855582353,393.3040147538658,100.15172314139151,Calendered
26,0.0013867,0.0013889,C/2,393.4458788480636,394.07008086253376,100.15865003245116,Calendered
27,0.0013827,0.0013848,C/2,392.3109660944815,392.9067952901121,100.15187676285528,Calendered
1,0.0007356,0.0013074,SEI,274.5800671892497,488.01791713325866,177.73246329526918,Uncalendered
2,0.000744,0.0007878,SEI,277.71556550951846,294.06494960806265,105.88709677419357,Uncalendered
4,0.0007977,0.0008163,Stress Prep,297.76035834266514,304.7032474804031,102.33170364798796,Uncalendered
5,0.0007931,0.000811,Stress Prep,296.04329973870847,302.7248973497573,102.25696633463625,Uncalendered
6,0.0007895,0.0008037,Stress Prep,294.6995147443075,299.99999999999994,101.79860671310954,Uncalendered
8,0.0007549,0.0007631,C/2,281.78424785367673,284.8450914520343,101.0862365876275,Uncalendered
9,0.000752,0.000759,C/2,280.7017543859649,283.3146696528555,100.9308510638298,Uncalendered
10,0.0007531,0.0007597,C/2,281.11235535647626,283.5759611795445,100.87637763909174,Uncalendered
12,0.000693,0.0006981,C,258.6786114221724,260.58230683090704,100.73593073593072,Uncalendered
13,0.000688,0.0006925,C,256.8122433743934,258.49197461739453,100.65406976744184,Uncalendered
14,0.0006836,0.0006877,C,255.16983949234788,256.70026129152666,100.59976594499706,Uncalendered
16,0.0006,0.0006029,2C,223.96416573348264,225.04665920119444,100.48333333333336,Uncalendered
17,0.0005959,0.0005988,2C,222.4337439343038,223.5162374020157,100.48665883537508,Uncalendered
18,0.0005928,0.0005954,2C,221.2765957446808,222.24710712952597,100.43859649122808,Uncalendered
20,0.0004103,0.0004109,4C,153.15416200074654,153.37812616648003,100.14623446258835,Uncalendered
21,0.0003904,0.0003906,4C,145.726017170586,145.8006718924972,100.05122950819673,Uncalendered
22,0.0003807,0.0003811,4C,142.1052631578947,142.25457260171703,100.10506960861572,Uncalendered
24,0.0007184,0.0007225,C/2,268.15976110488987,269.69018290406865,100.57071269487751,Uncalendered
25,0.0007204,0.0007245,C/2,268.90630832400143,270.43673012318027,100.56912826207662,Uncalendered
26,0.0007168,0.000721,C/2,267.56252332960054,269.1302724897349,100.5859375,Uncalendered
27,0.0007153,0.0007195,C/2,267.00261291526687,268.57036207540125,100.58716622396196,Uncalendered
