Electrode Type,Cycle,Direction,Voltage (V),Specific Capacity (mAh/g),dQ/dV (mAh/V)
Calendered,1,Discharge,2.77,0.0061001560505036185,-0.30500780252518067
Calendered,1,Discharge,2.75,0.012200312101007237,-0.30500780252518067
Calendered,1,Discharge,2.73,0.018272095332671302,-0.303589161583203
Calendered,1,Discharge,2.71,0.024372251383174916,-0.30500780252518045
Calendered,1,Discharge,2.69,0.030358916158320336,-0.2993332387572707
Calendered,1,Discharge,2.67,0.036600936303021706,-0.31210100723506823
Calendered,1,Discharge,2.65,0.042559228259327564,-0.29791459781529267
Calendered,1,Discharge,2.63,0.04880124840402895,-0.3121010072350689
Calendered,1,Discharge,2.61,0.054759540360334806,-0.29791459781529267
Calendered,1,Discharge,2.59,0.061001560505036176,-0.31210100723506823
Calendered,1,Discharge,2.57,0.06695985246134203,-0.29791459781529267
Calendered,1,Discharge,2.55,0.07320187260604341,-0.31210100723506856
Calendered,1,Discharge,2.53,0.07916016456234927,-0.29791459781529267
Calendered,1,Discharge,2.51,0.08540218470705065,-0.31210100723506856
Calendered,1,Discharge,2.49,0.09136047666335652,-0.29791459781529994
Calendered,1,Discharge,2.47,0.0976024968080579,-0.31210100723506856
Calendered,1,Discharge,2.45,0.10356078876436374,-0.29791459781529195
Calendered,1,Discharge,2.43,0.10980280890906513,-0.3121010072350693
Calendered,1,Discharge,2.41,0.11576110086537097,-0.29791459781529195
Calendered,1,Discharge,2.39,0.12200312101007235,-0.31210100723506856
Calendered,1,Discharge,2.37,0.12796141296637822,-0.29791459781529334
Calendered,1,Discharge,2.35,0.1342034331110796,-0.31210100723506856
Calendered,1,Discharge,2.34,0.14016172506738545,-0.5958291956305707
Calendered,1,Discharge,2.32,0.14612001702369132,-0.29791459781529334
Calendered,1,Discharge,2.3,0.1523620371683927,-0.31210100723506856
Calendered,1,Discharge,2.28,0.15832032912469854,-0.29791459781529195
Calendered,1,Discharge,2.26,0.16456234926939992,-0.31210100723506856
Calendered,1,Discharge,2.24,0.17052064122570582,-0.29791459781530133
Calendered,1,Discharge,2.22,0.17676266137040716,-0.3121010072350672
Calendered,1,Discharge,2.2,0.18272095332671304,-0.29791459781529334
Calendered,1,Discharge,2.18,0.18896297347141439,-0.3121010072350672
Calendered,1,Discharge,2.16,0.19492126542772029,-0.2979145978152947
Calendered,1,Discharge,2.14,0.20116328557242164,-0.3121010072350672
Calendered,1,Discharge,2.12,0.20712157752872748,-0.29791459781529195
Calendered,1,Discharge,2.1,0.21336359767342888,-0.31210100723506995
Calendered,1,Discharge,2.08,0.21932188962973473,-0.29791459781529195
Calendered,1,Discharge,2.06,0.2255639097744361,-0.31210100723506856
Calendered,1,Discharge,2.04,0.23152220173074195,-0.29791459781529195
Calendered,1,Discharge,2.02,0.23776422187544333,-0.31210100723506856
Calendered,1,Discharge,2.0,0.2437225138317492,-0.29791459781529334
Calendered,1,Discharge,1.98,0.24996453397645058,-0.31210100723506856
Calendered,1,Discharge,1.96,0.25592282593275645,-0.29791459781529334
Calendered,1,Discharge,1.94,0.26216484607745777,-0.3121010072350658
Calendered,1,Discharge,1.92,0.26812313803376364,-0.29791459781529334
Calendered,1,Discharge,1.9,0.2740814299900695,-0.29791459781529334
Calendered,1,Discharge,1.88,0.2803234501347709,-0.31210100723506856
Calendered,1,Discharge,1.87,0.28656547027947227,-0.624202014470151
Calendered,1,Discharge,1.85,0.29224003404738264,-0.2837281883955181
Calendered,1,Discharge,1.83,0.29791459781529295,-0.28372818839551533
Calendered,1,Discharge,1.81,0.30358916158320326,-0.28372818839551533
Calendered,1,Discharge,1.79,0.31210100723506884,-0.4255922825932786
Calendered,1,Discharge,1.77,0.3177755710029792,-0.2837281883955181
Calendered,1,Discharge,1.75,0.3234501347708895,-0.28372818839551533
Calendered,1,Discharge,1.73,0.32912469853879983,-0.28372818839551533
Calendered,1,Discharge,1.71,0.3347992623067102,-0.2837281883955181
Calendered,1,Discharge,1.69,0.3404738260746205,-0.28372818839551533
Calendered,1,Discharge,1.67,0.3461483898425309,-0.2837281883955181
Calendered,1,Discharge,1.65,0.3546602354943964,-0.4255922825932758
Calendered,1,Discharge,1.63,0.380195772449993,-1.2767768477798274
Calendered,1,Discharge,1.61,0.41424315505745496,-1.7023691303731165
Calendered,1,Discharge,1.59,0.4454532557809619,-1.5605050361753456
Calendered,1,Discharge,1.57,0.4766633565044687,-1.56050503617534
Calendered,1,Discharge,1.55,0.5078734572279756,-1.5605050361753428
Calendered,1,Discharge,1.53,0.5390835579514824,-1.56050503617534
Calendered,1,Discharge,1.51,0.5702936586749894,-1.5605050361753456
Calendered,1,Discharge,1.49,0.6043410412824515,-1.7023691303731032
Calendered,1,Discharge,1.47,0.6355511420059584,-1.5605050361753456
Calendered,1,Discharge,1.45,0.6667612427294652,-1.56050503617534
Calendered,1,Discharge,1.43,0.6979713434529721,-1.56050503617534
Calendered,1,Discharge,1.41,0.7405305717122996,-2.127961412966376
Calendered,1,Discharge,1.4,0.7859270818555825,-4.539651014328279
Calendered,1,Discharge,1.38,0.8313235919988651,-2.2698255071641285
Calendered,1,Discharge,1.36,0.8795573840261031,-2.411689601361924
Calendered,1,Discharge,1.34,0.9249538941693859,-2.2698255071641396
Calendered,1,Discharge,1.32,0.9731876861966238,-2.411689601361892
Calendered,1,Discharge,1.3,1.0185841963399065,-2.269825507164134
Calendered,1,Discharge,1.28,1.0668179883671443,-2.411689601361886
Calendered,1,Discharge,1.26,1.1519364448857996,-4.255922825932764
Calendered,1,Discharge,1.24,1.2370549014044545,-4.255922825932742
Calendered,1,Discharge,1.22,1.3221733579231099,-4.255922825932764
Calendered,1,Discharge,1.2,1.407291814441765,-4.255922825932752
Calendered,1,Discharge,1.18,1.5321322173357925,-6.242020144701371
Calendered,1,Discharge,1.16,1.6626471839977301,-6.5257483330968755
Calendered,1,Discharge,1.14,1.7959994325436233,-6.6676124272946495
Calendered,1,Discharge,1.12,1.9633990636969785,-8.369981557667845
Calendered,1,Discharge,1.1,2.1307986948503337,-8.369981557667753
Calendered,1,Discharge,1.08,2.3067101716555545,-8.795573840261032
Calendered,1,Discharge,1.06,2.4797843665768196,-8.653709746063246
Calendered,1,Discharge,1.04,2.6755568165697263,-9.78862249964533
Calendered,1,Discharge,1.02,2.8656547027947226,-9.504894311249803
Calendered,1,Discharge,1.0,3.092637253511137,-11.349127535820703
Calendered,1,Discharge,0.98,3.31961980422755,-11.349127535820658
Calendered,1,Discharge,0.96,3.546602354943964,-11.349127535820681
Calendered,1,Discharge,0.94,3.7735849056603774,-11.349127535820658
Calendered,1,Discharge,0.93,4.028940275216343,-25.535536955596775
Calendered,1,Discharge,0.91,4.255922825932757,-11.349127535820703
Calendered,1,Discharge,0.89,4.511278195488722,-12.767768477798247
Calendered,1,Discharge,0.87,4.79500638388424,-14.18640941977588
Calendered,1,Discharge,0.85,5.078734572279757,-14.186409419775835
Calendered,1,Discharge,0.83,5.3908355795148255,-15.605050361753422
Calendered,1,Discharge,0.81,5.759682224428997,-18.442332245708656
Calendered,1,Discharge,0.79,6.185274507022274,-21.27961412966382
Calendered,1,Discharge,0.77,6.724358064973756,-26.95417789757408
Calendered,1,Discharge,0.75,7.376932898283445,-32.628741665484434
Calendered,1,Discharge,0.73,8.256490282309548,-43.97786920130509
