Cycle,Direction,Voltage(V),Specific Capacity (mAh/g),Current(A),status,Electrode Type
1,Discharge,2.7855,0.0,-0.0001498,CCCV DChg,Calendered
1,Discharge,1.6468,0.3546602354943964,-0.0001498,CCCV DChg,Calendered
1,Discharge,1.4279,0.7093204709887928,-0.0001498,CCCV DChg,Calendered
1,Discharge,1.2785,1.0639807064831892,-0.0001498,CCCV DChg,Calendered
1,Discharge,1.1972,1.4158036600936301,-0.0001498,CCCV DChg,Calendered
1,Discharge,1.1436,1.770463895588027,-0.00014973,CCCV DChg,Calendered
1,Discharge,1.1021,2.125124131082423,-0.0001498,CCCV DChg,Calendered
1,Discharge,1.0624,2.4797843665768196,-0.0001498,CCCV DChg,Calendered
1,Discharge,1.027,2.8344446020712155,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.9945,3.1862675556816566,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.9641,3.540927791176054,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.9353,3.89558802667045,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.9071,4.250248262164846,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.8795,4.604908497659243,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.8544,4.959568733153639,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.832,5.31139168676408,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.8125,5.666051922258476,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.7955,6.020712157752873,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.7806,6.375372393247269,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.7679,6.730032628741665,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.757,7.081855582352108,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.7471,7.436515817846503,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.7387,7.7911760533409,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.7313,8.145836288835296,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.7245,8.500496524329693,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.7183,8.852319477940133,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.7124,9.206979713434531,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.7068,9.561639948928926,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.7009,9.916300184423324,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.6953,10.270960419917719,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.6901,10.62278337352816,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.6842,10.977443609022556,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.6792,11.332103844516952,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.6733,11.686764080011349,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.668,12.041424315505745,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.6628,12.393247269116188,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.6553,12.747907504610584,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.6498,13.10256774010498,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.6436,13.457227975599377,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.6374,13.811888211093773,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.6302,14.163711164704216,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.6237,14.51837140019861,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.6166,14.873031635693007,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.6094,15.227691871187403,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.6017,15.5823521066818,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.5939,15.93417506029224,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.5862,16.28883529578664,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.5784,16.643495531281033,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.5707,16.998155766775433,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.5623,17.34997872038587,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.5549,17.704638955880267,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.5468,18.059299191374667,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.5391,18.413959426869063,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.5319,18.768619662363456,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.5242,19.1204426159739,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.5161,19.47510285146829,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.509,19.829763086962693,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.5019,20.18442332245709,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4944,20.539083557951486,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4876,20.890906511561923,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4805,21.24556674705632,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.4737,21.60022698255072,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4678,21.954887218045112,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4609,22.30954745353951,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4554,22.661370407149953,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4495,23.016030642644346,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4433,23.370690878138745,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4377,23.725351113633142,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.4324,24.077174067243583,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4272,24.43183430273798,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4219,24.786494538232375,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4172,25.14115477372677,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4117,25.495815009221168,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.4067,25.847637962831612,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.4024,26.202298198326005,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3971,26.5569584338204,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3931,26.9116186693148,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3884,27.266278904809198,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3838,27.61810185841964,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3797,27.972762093914035,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3745,28.32742232940843,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3704,28.68208256490282,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3664,29.033905518513265,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3621,29.38856575400766,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.358,29.743225989502058,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.354,30.097886224996454,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3497,30.45254646049085,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.345,30.80436941410129,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3419,31.15902964959569,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.3366,31.513689885090088,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3332,31.86835012058448,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3298,32.22301035607887,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3249,32.57483330968932,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.3214,32.92949354518372,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3171,33.28415378067811,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3143,33.63881401617251,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.3106,33.99063696978295,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3069,34.34529720527735,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.3025,34.69995744077174,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2991,35.05461767626614,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2951,35.40927791176053,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2923,35.76110086537098,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2889,36.11576110086538,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2855,36.47042133635978,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.2821,36.82508157185416,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.278,37.17974180734856,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2759,37.53156476095901,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.2728,37.8862249964534,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2694,38.2408852319478,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2663,38.59554546744219,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2625,38.94736842105263,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2601,39.30202865654702,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.2566,39.65668889204143,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2532,40.01134912753583,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2504,40.36600936303022,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.247,40.71783231664067,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2446,41.07249255213505,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2418,41.42715278762945,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2387,41.781813023123846,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2356,42.13363597673429,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2334,42.48829621222869,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2309,42.84295644772308,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2278,43.19761668321748,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.225,43.552276918711875,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2219,43.90409987232232,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2201,44.25876010781672,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2179,44.61342034331111,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2154,44.96808057880551,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.2123,45.31990353241594,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.2108,45.67456376791034,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.2077,46.029224003404735,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.2049,46.383884238899135,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.203,46.73854447439353,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1999,47.09036742800397,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1981,47.44502766349837,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1962,47.799687898992765,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1953,48.154348134487165,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1931,48.50900836998156,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1912,48.860831323592,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1894,49.2154915590864,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1884,49.570151794580795,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1869,49.92481203007519,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1863,50.27947226556958,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.185,50.631295219180025,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1838,50.98595545467443,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1829,51.340615690168825,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1829,51.695275925663225,-0.00014973,CCCV DChg,Calendered
