Cycle 1,,,,Cycle 2,,,,,,,,,,
reduction,,oxidation,,reduction,,oxidation,,,,,,,,
E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),,,,,,,
2.79,0,0.06,0,1.23,0,0.06,0,,,,,,,
2.77,2.15E-08,0.07,1.45E-06,1.23,6.42E-08,0.07,2.05E-06,,,,,,,
2.75,4.30E-08,0.08,8.54E-06,1.22,1.28E-07,0.08,1.06E-05,,,,,,,
2.73,6.44E-08,0.09,2.15E-05,1.21,1.93E-07,0.09,2.60E-05,,,,,,,
2.71,8.59E-08,0.10,5.36E-05,1.20,2.57E-07,0.10,7.12E-05,,,,,,,
2.69,1.07E-07,0.10,1.63E-04,1.19,3.21E-07,0.10,1.92E-04,,,,,,,
2.67,1.29E-07,0.10,2.53E-04,1.18,3.85E-07,0.10,2.79E-04,,,,,,,
2.65,1.50E-07,0.10,3.41E-04,1.18,4.50E-07,0.10,3.31E-04,,,,,,,
2.63,1.72E-07,0.11,4.38E-04,1.17,5.14E-07,0.10,3.61E-04,,,,,,,
2.61,1.93E-07,0.12,5.11E-04,1.16,5.78E-07,0.11,4.02E-04,,,,,,,
2.59,2.15E-07,0.12,5.61E-04,1.15,6.42E-07,0.11,4.35E-04,,,,,,,
2.57,2.36E-07,0.13,6.32E-04,1.14,7.07E-07,0.11,4.70E-04,,,,,,,
2.55,2.58E-07,0.14,7.20E-04,1.13,7.71E-07,0.11,5.03E-04,,,,,,,
2.53,2.79E-07,0.14,8.07E-04,1.13,8.35E-07,0.12,5.37E-04,,,,,,,
2.51,3.01E-07,0.14,9.33E-04,1.12,8.99E-07,0.13,5.79E-04,,,,,,,
2.49,3.22E-07,0.15,0.00101,1.11,9.64E-07,0.13,6.09E-04,,,,,,,
2.47,3.44E-07,0.16,0.00105,1.10,1.03E-06,0.13,6.29E-04,,,,,,,
2.45,3.65E-07,0.17,0.00108,1.09,1.09E-06,0.13,6.54E-04,,,,,,,
2.43,3.87E-07,0.17,0.00112,1.08,1.16E-06,0.14,6.96E-04,,,,,,,
2.41,4.08E-07,0.18,0.00115,1.08,1.22E-06,0.14,7.31E-04,,,,,,,
2.39,4.30E-07,0.19,0.00117,1.07,1.32E-06,0.14,7.59E-04,,,,,,,
2.37,4.51E-07,0.20,0.00118,1.06,1.45E-06,0.14,7.92E-04,,,,,,,
2.35,4.73E-07,0.21,0.0012,1.05,1.58E-06,0.14,8.25E-04,,,,,,,
2.34,4.94E-07,0.21,0.00122,1.04,1.71E-06,0.14,8.78E-04,,,,,,,
2.32,5.15E-07,0.22,0.00124,1.03,1.84E-06,0.14,9.17E-04,,,,,,,
2.30,5.37E-07,0.22,0.00126,1.03,1.97E-06,0.14,9.59E-04,,,,,,,
2.28,5.58E-07,0.23,0.0013,1.02,2.10E-06,0.15,0.001,,,,,,,
2.26,5.80E-07,0.24,0.00131,1.01,2.23E-06,0.16,0.00105,,,,,,,
2.24,6.01E-07,0.25,0.00132,1.00,2.36E-06,0.17,0.00109,,,,,,,
2.22,6.23E-07,0.25,0.00132,0.99,2.49E-06,0.18,0.00113,,,,,,,
2.20,6.44E-07,0.26,0.00133,0.98,2.66E-06,0.18,0.00115,,,,,,,
2.18,6.66E-07,0.27,0.00133,0.98,2.83E-06,0.19,0.00118,,,,,,,
2.16,6.87E-07,0.28,0.00133,0.97,3.00E-06,0.20,0.0012,,,,,,,
2.14,7.09E-07,0.29,0.00134,0.96,3.17E-06,0.21,0.00122,,,,,,,
2.12,7.30E-07,0.30,0.00134,0.95,3.34E-06,0.22,0.00124,,,,,,,
2.10,7.52E-07,0.31,0.00134,0.94,3.51E-06,0.23,0.0013,,,,,,,
2.08,7.73E-07,0.32,0.00134,0.93,3.67E-06,0.24,0.00132,,,,,,,
2.06,7.95E-07,0.32,0.00135,0.93,3.85E-06,0.25,0.00132,,,,,,,
2.04,8.16E-07,0.33,0.00135,0.92,4.04E-06,0.26,0.00133,,,,,,,
2.02,8.38E-07,0.34,0.00135,0.91,4.22E-06,0.27,0.00133,,,,,,,
2.00,8.59E-07,0.35,0.00135,0.90,4.41E-06,0.28,0.00133,,,,,,,
1.98,8.81E-07,0.36,0.00135,0.89,4.59E-06,0.29,0.00134,,,,,,,
1.96,9.02E-07,0.37,0.00136,0.88,4.78E-06,0.30,0.00134,,,,,,,
1.94,9.24E-07,0.38,0.00136,0.88,4.96E-06,0.31,0.00134,,,,,,,
1.92,9.45E-07,0.39,0.00136,0.87,5.18E-06,0.31,0.00135,,,,,,,
1.90,9.66E-07,0.39,0.00136,0.86,5.41E-06,0.32,0.00135,,,,,,,
1.88,9.88E-07,0.40,0.00136,0.85,5.63E-06,0.33,0.00135,,,,,,,
1.87,1.01E-06,0.41,0.00136,0.84,5.86E-06,0.34,0.00135,,,,,,,
1.85,1.03E-06,0.42,0.00137,0.83,6.09E-06,0.35,0.00136,,,,,,,
1.83,1.05E-06,0.43,0.00137,0.83,6.33E-06,0.36,0.00136,,,,,,,
1.81,1.07E-06,0.44,0.00137,0.82,6.61E-06,0.37,0.00136,,,,,,,
1.79,1.10E-06,0.45,0.00137,0.81,6.88E-06,0.38,0.00136,,,,,,,
1.77,1.12E-06,0.46,0.00137,0.80,7.16E-06,0.39,0.00136,,,,,,,
1.75,1.14E-06,0.46,0.00137,0.79,7.44E-06,0.40,0.00137,,,,,,,
1.73,1.16E-06,0.47,0.00137,0.78,7.74E-06,0.41,0.00137,,,,,,,
1.71,1.18E-06,0.48,0.00138,0.78,8.04E-06,0.42,0.00137,,,,,,,
1.69,1.20E-06,0.49,0.00138,0.77,8.34E-06,0.43,0.00137,,,,,,,
1.67,1.22E-06,0.50,0.00138,0.76,8.65E-06,0.44,0.00137,,,,,,,
1.65,1.25E-06,0.51,0.00138,0.75,8.99E-06,0.45,0.00137,,,,,,,
1.63,1.34E-06,0.52,0.00138,0.74,9.35E-06,0.46,0.00138,,,,,,,
1.61,1.46E-06,0.53,0.00138,0.73,9.71E-06,0.47,0.00138,,,,,,,
1.59,1.57E-06,0.53,0.00138,0.73,1.01E-05,0.47,0.00138,,,,,,,
1.57,1.68E-06,0.54,0.00138,0.72,1.05E-05,0.48,0.00138,,,,,,,
1.55,1.79E-06,0.55,0.00138,0.71,1.09E-05,0.49,0.00138,,,,,,,
1.53,1.90E-06,0.56,0.00139,0.70,1.14E-05,0.50,0.00138,,,,,,,
1.51,2.01E-06,0.57,0.00139,0.69,1.19E-05,0.51,0.00138,,,,,,,
1.49,2.13E-06,0.58,0.00139,0.68,1.23E-05,0.52,0.00138,,,,,,,
1.47,2.24E-06,0.59,0.00139,0.67,1.28E-05,0.53,0.00139,,,,,,,
1.45,2.35E-06,0.60,0.00139,0.67,1.34E-05,0.54,0.00139,,,,,,,
1.43,2.46E-06,0.60,0.00139,0.66,1.39E-05,0.55,0.00139,,,,,,,
1.41,2.61E-06,0.61,0.00139,0.65,1.45E-05,0.56,0.00139,,,,,,,
1.40,2.77E-06,0.62,0.00139,0.64,1.51E-05,0.57,0.00139,,,,,,,
1.38,2.93E-06,0.63,0.00139,0.63,1.57E-05,0.58,0.00139,,,,,,,
1.36,3.10E-06,0.64,0.00139,0.62,1.64E-05,0.59,0.00139,,,,,,,
1.34,3.26E-06,0.65,0.00139,0.62,1.70E-05,0.60,0.00139,,,,,,,
1.32,3.43E-06,0.66,0.00139,0.61,1.77E-05,0.61,0.00139,,,,,,,
1.30,3.59E-06,0.67,0.00139,0.60,1.84E-05,0.62,0.00139,,,,,,,
1.28,3.76E-06,0.67,0.00139,0.59,1.91E-05,0.63,0.00139,,,,,,,
1.26,4.06E-06,0.68,0.00139,0.58,1.99E-05,0.63,0.00139,,,,,,,
1.24,4.36E-06,0.69,0.0014,0.57,2.07E-05,0.64,0.0014,,,,,,,
1.22,4.66E-06,0.70,0.0014,0.57,2.15E-05,0.65,0.0014,,,,,,,
1.20,4.96E-06,0.71,0.0014,0.56,2.23E-05,0.66,0.0014,,,,,,,
1.18,5.40E-06,0.72,0.0014,0.55,2.32E-05,0.67,0.0014,,,,,,,
1.16,5.86E-06,0.73,0.0014,0.54,2.41E-05,0.68,0.0014,,,,,,,
1.14,6.33E-06,0.74,0.0014,0.53,2.49E-05,0.69,0.0014,,,,,,,
1.12,6.92E-06,0.74,0.0014,0.52,2.59E-05,0.70,0.0014,,,,,,,
1.10,7.51E-06,0.75,0.0014,0.52,2.69E-05,0.71,0.0014,,,,,,,
1.08,8.13E-06,0.76,0.0014,0.51,2.79E-05,0.72,0.0014,,,,,,,
1.06,8.74E-06,0.77,0.0014,0.50,2.90E-05,0.73,0.0014,,,,,,,
1.04,9.43E-06,0.78,0.0014,0.49,3.00E-05,0.74,0.0014,,,,,,,
1.02,1.01E-05,0.79,0.0014,0.48,3.12E-05,0.75,0.0014,,,,,,,
1.00,1.09E-05,0.80,0.0014,0.47,3.23E-05,0.76,0.0014,,,,,,,
0.98,1.17E-05,0.81,0.0014,0.47,3.35E-05,0.77,0.0014,,,,,,,
0.96,1.25E-05,0.81,0.0014,0.46,3.48E-05,0.78,0.0014,,,,,,,
0.94,1.33E-05,0.82,0.0014,0.45,3.61E-05,0.79,0.0014,,,,,,,
0.93,1.42E-05,0.83,0.0014,0.44,3.73E-05,0.79,0.0014,,,,,,,
0.91,1.50E-05,0.84,0.0014,0.43,3.88E-05,0.80,0.0014,,,,,,,
0.89,1.59E-05,0.85,0.0014,0.42,4.02E-05,0.81,0.0014,,,,,,,
0.87,1.69E-05,0.86,0.0014,0.42,4.16E-05,0.82,0.0014,,,,,,,
0.85,1.79E-05,0.87,0.0014,0.41,4.31E-05,0.83,0.0014,,,,,,,
0.83,1.90E-05,0.88,0.0014,0.40,4.47E-05,0.84,0.0014,,,,,,,
0.81,2.03E-05,0.88,0.0014,0.39,4.63E-05,0.85,0.00141,,,,,,,
0.79,2.18E-05,0.89,0.0014,0.38,4.80E-05,0.86,0.00141,,,,,,,
0.77,2.37E-05,0.90,0.0014,0.37,4.97E-05,0.87,0.00141,,,,,,,
