Cycle number,,applied current,C-rate,Chg Cap(Ah),DChg Cap(Ah),,,,,,,,,,,,,,,,,,,,
1,SEI formation,,,0.0014165,0.0015580,,,,,,,,,,,weight of copper current collector (12mm diameter):   9.68 mg,,,,,,,,,
2,SEI formation,,,0.0014185,0.0014354,,,,,,,,,,,weight of the electrode including current collector and dried slurry: read from video (7:52min),,,,,,,,,
3,dont use this one,,,0.0028286,0.0028480,,,,,,,,,,,,,,,,,,,,
4,Stress Prep,,,0.0014107,0.0014162,,,,,,,,,,,porosity of the as calendered electrode: ~ 45%,,,,,,,,,
5,Stress Prep,,,0.0014096,0.0014145,,,,,,,,,,,,,,,,,,,,
6,Stress Prep,,,0.0014103,0.0014147,,,,,,,,,,,,,,,,,,,,
7,dont use this one,,,0.0027913,0.0028001,,,,,,,,,,,,,,,,,,,,
8,C/2,,,0.0013792,0.0013819,,,,,,,,,,,,,,,,,,,,
9,C/2,,,0.0013819,0.0013843,,,,,,,,,,,,,,,,,,,,
10,C/2,,,0.0013830,0.0013855,,,,,,,,,,,,,,,,,,,,
11,dont use this one,,,0.0027107,0.0027160,,,,,,,,,,,,,,,,,,,,
12,1C,,,0.0013226,0.0013245,,,,,,,,,,,,,,,,,,,,
13,1C,,,0.0013206,0.0013223,,,,,,,,,,,,,,,,,,,,
14,1C,,,0.0013222,0.0013239,,,,,,,,,,,,,,,,,,,,
15,dont use this one,,,0.0025147,0.0025184,,,,,,,,,,,,,,,,,,,,
16,2C,,,0.0011496,0.0011507,,,,,,,,,,,,,,,,,,,,
17,2C,,,0.0011635,0.0011648,,,,,,,,,,,,,,,,,,,,
18,2C,,,0.0011868,0.0011881,,,,,,,,,,,,,,,,,,,,
19,dont use this one,,,0.0021951,0.0021981,,,,,,,,,,,,,,,,,,,,
20,4C,,,0.0008822,0.0008829,,,,,,,,,,,,,,,,,,,,
21,4C,,,0.0008090,0.0008090,,,,,,,,,,,,,,,,,,,,
22,4C,,,0.0007750,0.0007753,,,,,,,,,,,,,,,,,,,,
23,dont use this one,,,0.0021386,0.0021394,,,,,,,,,,,,,,,,,,,,
24,C/2,,,0.0013829,0.0013850,,,,,,,,,,,,,,,,,,,,
25,C/2,,,0.0013841,0.0013862,,,,,,,,,,,,,,,,,,,,
26,C/2,,,0.0013867,0.0013889,,,,,,,,,,,,,,,,,,,,
27,C/2,,,0.0013827,0.0013848,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,please ignore if the number of cycles does not match the instructions,,,,,,,,,,,,,,,,,,,,,,,,
