Record number,status,Jump,Cycle,Steps,Current(A),Capacity(Ah),Voltage(V),Relative Time(h:min:s.ms),Real Time(h:min:s.ms)
1,Rest,1,1,1,0.00000000,0.00000000,2.8112,0:00:00.000,2021-07-22 15:08:20
2,Rest,1,1,1,0.00000000,0.00000000,2.8112,0:00:30.000,2021-07-22 15:08:49
3,Rest,1,1,1,0.00000000,0.00000000,2.8097,0:01:00.000,2021-07-22 15:09:19
4,Rest,1,1,1,0.00000000,0.00000000,2.8069,0:01:30.000,2021-07-22 15:09:49
5,CCCV DChg,2,1,2,-0.00014980,0.00000000,2.7855,0:00:00.000,2021-07-22 15:09:50
6,CCCV DChg,2,1,2,-0.00014980,0.00000125,1.6468,0:00:30.000,2021-07-22 15:10:20
7,CCCV DChg,2,1,2,-0.00014980,0.00000250,1.4279,0:01:00.000,2021-07-22 15:10:50
8,CCCV DChg,2,1,2,-0.00014980,0.00000375,1.2785,0:01:30.000,2021-07-22 15:11:20
9,CCCV DChg,2,1,2,-0.00014980,0.00000499,1.1972,0:02:00.000,2021-07-22 15:11:50
10,CCCV DChg,2,1,2,-0.00014973,0.00000624,1.1436,0:02:30.000,2021-07-22 15:12:20
11,CCCV DChg,2,1,2,-0.00014980,0.00000749,1.1021,0:03:00.000,2021-07-22 15:12:50
12,CCCV DChg,2,1,2,-0.00014980,0.00000874,1.0624,0:03:30.000,2021-07-22 15:13:20
13,CCCV DChg,2,1,2,-0.00014973,0.00000999,1.0270,0:04:00.000,2021-07-22 15:13:50
14,CCCV DChg,2,1,2,-0.00014973,0.00001123,0.9945,0:04:30.000,2021-07-22 15:14:20
15,CCCV DChg,2,1,2,-0.00014980,0.00001248,0.9641,0:05:00.000,2021-07-22 15:14:50
16,CCCV DChg,2,1,2,-0.00014980,0.00001373,0.9353,0:05:30.000,2021-07-22 15:15:20
17,CCCV DChg,2,1,2,-0.00014980,0.00001498,0.9071,0:06:00.000,2021-07-22 15:15:50
18,CCCV DChg,2,1,2,-0.00014980,0.00001623,0.8795,0:06:30.000,2021-07-22 15:16:20
19,CCCV DChg,2,1,2,-0.00014973,0.00001748,0.8544,0:07:00.000,2021-07-22 15:16:50
20,CCCV DChg,2,1,2,-0.00014980,0.00001872,0.8320,0:07:30.000,2021-07-22 15:17:20
21,CCCV DChg,2,1,2,-0.00014980,0.00001997,0.8125,0:08:00.000,2021-07-22 15:17:50
22,CCCV DChg,2,1,2,-0.00014973,0.00002122,0.7955,0:08:30.000,2021-07-22 15:18:20
23,CCCV DChg,2,1,2,-0.00014973,0.00002247,0.7806,0:09:00.000,2021-07-22 15:18:50
24,CCCV DChg,2,1,2,-0.00014973,0.00002372,0.7679,0:09:30.000,2021-07-22 15:19:20
25,CCCV DChg,2,1,2,-0.00014973,0.00002496,0.7570,0:10:00.000,2021-07-22 15:19:50
26,CCCV DChg,2,1,2,-0.00014980,0.00002621,0.7471,0:10:30.000,2021-07-22 15:20:20
27,CCCV DChg,2,1,2,-0.00014980,0.00002746,0.7387,0:11:00.000,2021-07-22 15:20:50
28,CCCV DChg,2,1,2,-0.00014980,0.00002871,0.7313,0:11:30.000,2021-07-22 15:21:20
29,CCCV DChg,2,1,2,-0.00014980,0.00002996,0.7245,0:12:00.000,2021-07-22 15:21:50
30,CCCV DChg,2,1,2,-0.00014973,0.00003120,0.7183,0:12:30.000,2021-07-22 15:22:20
31,CCCV DChg,2,1,2,-0.00014980,0.00003245,0.7124,0:13:00.000,2021-07-22 15:22:50
32,CCCV DChg,2,1,2,-0.00014973,0.00003370,0.7068,0:13:30.000,2021-07-22 15:23:20
33,CCCV DChg,2,1,2,-0.00014980,0.00003495,0.7009,0:14:00.000,2021-07-22 15:23:50
34,CCCV DChg,2,1,2,-0.00014973,0.00003620,0.6953,0:14:30.000,2021-07-22 15:24:20
35,CCCV DChg,2,1,2,-0.00014973,0.00003744,0.6901,0:15:00.000,2021-07-22 15:24:50
