Cycle 1,,,,Cycle 2,,,
reduction,,oxidation,,reduction,,oxidation,
E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah),E vs Li/Li+ (V),Charge (Ah)
2.70,0.00E+00,0.07,0.00E+00,1.11,0.00E+00,0.07,0.00E+00
2.68,9.50E-09,0.08,4.92E-07,1.11,2.10E-08,0.07,5.08E-07
2.67,1.90E-08,0.08,1.77E-06,1.10,4.19E-08,0.08,1.84E-06
2.66,2.85E-08,0.09,4.91E-06,1.10,6.29E-08,0.08,5.33E-06
2.65,3.80E-08,0.09,1.01E-05,1.09,8.39E-08,0.09,1.07E-05
2.64,4.75E-08,0.10,1.91E-05,1.09,1.05E-07,0.09,2.00E-05
2.63,5.70E-08,0.10,3.75E-05,1.08,1.26E-07,0.10,4.06E-05
2.62,6.65E-08,0.11,8.15E-05,1.08,1.47E-07,0.10,9.01E-05
2.61,7.60E-08,0.11,1.22E-04,1.08,1.68E-07,0.11,1.33E-04
2.59,8.55E-08,0.11,1.68E-04,1.07,1.89E-07,0.11,1.64E-04
2.58,9.50E-08,0.12,1.98E-04,1.07,2.10E-07,0.11,1.93E-04
2.57,1.05E-07,0.12,2.21E-04,1.06,2.31E-07,0.12,2.18E-04
2.56,1.14E-07,0.13,2.43E-04,1.06,2.52E-07,0.12,2.40E-04
2.55,1.24E-07,0.13,2.66E-04,1.05,2.73E-07,0.13,2.62E-04
2.54,1.33E-07,0.14,3.00E-04,1.05,2.94E-07,0.13,2.87E-04
2.53,1.43E-07,0.14,3.48E-04,1.05,3.15E-07,0.14,3.21E-04
2.52,1.52E-07,0.15,4.06E-04,1.04,3.35E-07,0.14,3.65E-04
2.50,1.62E-07,0.15,4.46E-04,1.04,3.56E-07,0.15,4.24E-04
2.49,1.71E-07,0.15,4.74E-04,1.03,3.77E-07,0.15,4.64E-04
2.48,1.81E-07,0.16,4.96E-04,1.03,3.98E-07,0.16,4.90E-04
2.47,1.90E-07,0.16,5.10E-04,1.02,4.19E-07,0.16,5.10E-04
2.46,2.00E-07,0.17,5.22E-04,1.02,4.40E-07,0.17,5.23E-04
2.45,2.09E-07,0.17,5.36E-04,1.02,4.61E-07,0.17,5.36E-04
2.44,2.19E-07,0.18,5.50E-04,1.01,4.82E-07,0.17,5.50E-04
2.43,2.28E-07,0.18,5.60E-04,1.01,5.03E-07,0.18,5.63E-04
2.41,2.38E-07,0.19,5.68E-04,1.00,5.24E-07,0.18,5.72E-04
2.40,2.47E-07,0.19,5.75E-04,1.00,5.45E-07,0.19,5.81E-04
2.39,2.57E-07,0.20,5.84E-04,0.99,5.66E-07,0.19,5.88E-04
2.38,2.66E-07,0.20,5.93E-04,0.99,5.87E-07,0.20,5.97E-04
2.37,2.76E-07,0.21,6.00E-04,0.99,6.08E-07,0.20,6.06E-04
2.36,2.85E-07,0.21,6.06E-04,0.98,6.29E-07,0.21,6.12E-04
2.35,2.95E-07,0.22,6.10E-04,0.98,6.50E-07,0.21,6.18E-04
2.34,3.04E-07,0.22,6.18E-04,0.97,6.71E-07,0.22,6.22E-04
2.32,3.14E-07,0.23,6.36E-04,0.97,6.92E-07,0.22,6.31E-04
2.31,3.23E-07,0.23,6.47E-04,0.96,7.13E-07,0.23,6.49E-04
2.30,3.33E-07,0.24,6.53E-04,0.96,7.34E-07,0.23,6.59E-04
2.29,3.42E-07,0.24,6.56E-04,0.96,7.84E-07,0.24,6.64E-04
2.28,3.52E-07,0.25,6.58E-04,0.95,8.35E-07,0.24,6.67E-04
2.27,3.61E-07,0.25,6.59E-04,0.95,8.87E-07,0.25,6.69E-04
2.26,3.71E-07,0.26,6.61E-04,0.94,9.38E-07,0.25,6.71E-04
2.25,3.80E-07,0.26,6.62E-04,0.94,9.89E-07,0.26,6.72E-04
2.23,3.90E-07,0.27,6.63E-04,0.93,1.04E-06,0.26,6.73E-04
2.22,3.99E-07,0.27,6.64E-04,0.93,1.09E-06,0.27,6.74E-04
2.21,4.09E-07,0.28,6.65E-04,0.93,1.14E-06,0.27,6.76E-04
2.20,4.18E-07,0.28,6.66E-04,0.92,1.19E-06,0.28,6.77E-04
2.19,4.28E-07,0.29,6.68E-04,0.92,1.24E-06,0.28,6.78E-04
2.18,4.37E-07,0.29,6.68E-04,0.91,1.30E-06,0.29,6.79E-04
2.17,4.47E-07,0.30,6.69E-04,0.91,1.35E-06,0.29,6.80E-04
2.16,4.56E-07,0.30,6.70E-04,0.90,1.40E-06,0.30,6.81E-04
2.14,4.66E-07,0.31,6.71E-04,0.90,1.45E-06,0.30,6.82E-04
2.13,4.75E-07,0.31,6.72E-04,0.90,1.51E-06,0.31,6.82E-04
2.12,4.85E-07,0.32,6.73E-04,0.89,1.58E-06,0.31,6.83E-04
2.11,4.94E-07,0.32,6.74E-04,0.89,1.65E-06,0.32,6.84E-04
2.10,5.04E-07,0.33,6.75E-04,0.88,1.72E-06,0.32,6.85E-04
2.09,5.13E-07,0.33,6.76E-04,0.88,1.79E-06,0.33,6.86E-04
2.08,5.23E-07,0.34,6.76E-04,0.87,1.86E-06,0.33,6.87E-04
2.07,5.32E-07,0.34,6.77E-04,0.87,1.93E-06,0.34,6.87E-04
2.06,5.42E-07,0.35,6.78E-04,0.87,1.99E-06,0.34,6.88E-04
2.04,5.51E-07,0.35,6.79E-04,0.86,2.06E-06,0.35,6.89E-04
2.03,5.61E-07,0.36,6.79E-04,0.86,2.13E-06,0.35,6.90E-04
2.02,5.70E-07,0.36,6.80E-04,0.85,2.20E-06,0.36,6.90E-04
2.01,5.80E-07,0.37,6.81E-04,0.85,2.29E-06,0.36,6.91E-04
2.00,5.89E-07,0.37,6.82E-04,0.84,2.38E-06,0.37,6.92E-04
1.99,5.99E-07,0.38,6.82E-04,0.84,2.47E-06,0.37,6.93E-04
1.98,6.08E-07,0.38,6.83E-04,0.84,2.56E-06,0.38,6.93E-04
1.97,6.18E-07,0.39,6.84E-04,0.83,2.66E-06,0.38,6.94E-04
1.95,6.27E-07,0.39,6.84E-04,0.83,2.75E-06,0.39,6.95E-04
1.94,6.37E-07,0.40,6.85E-04,0.82,2.84E-06,0.39,6.95E-04
1.93,6.46E-07,0.40,6.86E-04,0.82,2.93E-06,0.40,6.96E-04
1.92,6.56E-07,0.41,6.86E-04,0.81,3.03E-06,0.40,6.97E-04
1.91,6.65E-07,0.41,6.87E-04,0.81,3.14E-06,0.41,6.97E-04
1.90,6.75E-07,0.42,6.87E-04,0.81,3.24E-06,0.41,6.98E-04
1.89,6.84E-07,0.42,6.88E-04,0.80,3.35E-06,0.42,6.98E-04
1.88,6.94E-07,0.43,6.89E-04,0.80,3.45E-06,0.42,6.99E-04
1.86,7.03E-07,0.43,6.89E-04,0.79,3.56E-06,0.43,6.99E-04
1.85,7.13E-07,0.44,6.90E-04,0.79,3.67E-06,0.43,7.00E-04
1.84,7.22E-07,0.44,6.90E-04,0.78,3.79E-06,0.44,7.01E-04
1.83,7.32E-07,0.45,6.91E-04,0.78,3.91E-06,0.44,7.01E-04
1.82,9.07E-07,0.45,6.91E-04,0.78,4.03E-06,0.45,7.02E-04
1.81,1.18E-06,0.46,6.92E-04,0.77,4.16E-06,0.45,7.02E-04
1.80,1.46E-06,0.46,6.93E-04,0.77,4.28E-06,0.46,7.03E-04
1.79,1.65E-06,0.47,6.93E-04,0.76,4.40E-06,0.46,7.03E-04
1.77,1.84E-06,0.47,6.94E-04,0.76,4.54E-06,0.47,7.04E-04
1.76,2.03E-06,0.48,6.94E-04,0.75,4.67E-06,0.47,7.04E-04
1.75,2.22E-06,0.48,6.95E-04,0.75,4.81E-06,0.48,7.05E-04
1.74,2.33E-06,0.49,6.95E-04,0.74,4.94E-06,0.48,7.05E-04
1.73,2.44E-06,0.49,6.96E-04,0.74,5.08E-06,0.49,7.06E-04
1.72,2.55E-06,0.50,6.96E-04,0.74,5.22E-06,0.49,7.06E-04
1.71,2.66E-06,0.50,6.96E-04,0.73,5.37E-06,0.50,7.07E-04
1.70,2.77E-06,0.51,6.97E-04,0.73,5.53E-06,0.50,7.07E-04
1.68,2.88E-06,0.51,6.97E-04,0.72,5.68E-06,0.51,7.08E-04
1.67,2.98E-06,0.52,6.98E-04,0.72,5.83E-06,0.51,7.08E-04
1.66,3.07E-06,0.52,6.98E-04,0.71,5.99E-06,0.52,7.09E-04
1.65,3.15E-06,0.53,6.99E-04,0.71,6.16E-06,0.52,7.09E-04
1.64,3.24E-06,0.53,6.99E-04,0.71,6.33E-06,0.53,7.09E-04
1.63,3.33E-06,0.54,7.00E-04,0.70,6.50E-06,0.53,7.10E-04
1.62,3.41E-06,0.54,7.00E-04,0.70,6.68E-06,0.54,7.10E-04
1.61,3.50E-06,0.55,7.00E-04,0.69,6.86E-06,0.54,7.11E-04
1.59,3.58E-06,0.55,7.01E-04,0.69,7.05E-06,0.55,7.11E-04
1.58,3.67E-06,0.56,7.01E-04,0.68,7.23E-06,0.55,7.11E-04
1.57,3.76E-06,0.56,7.02E-04,0.68,7.42E-06,0.56,7.12E-04
1.56,3.85E-06,0.57,7.02E-04,0.68,7.63E-06,0.56,7.12E-04
1.55,3.94E-06,0.57,7.02E-04,0.67,7.83E-06,0.57,7.13E-04
1.54,4.04E-06,0.58,7.03E-04,0.67,8.03E-06,0.57,7.13E-04
1.53,4.13E-06,0.58,7.03E-04,0.66,8.25E-06,0.58,7.13E-04
1.52,4.22E-06,0.59,7.03E-04,0.66,8.46E-06,0.58,7.14E-04
1.50,4.31E-06,0.59,7.04E-04,0.65,8.68E-06,0.59,7.14E-04
1.49,4.40E-06,0.60,7.04E-04,0.65,8.90E-06,0.59,7.14E-04
1.48,4.53E-06,0.60,7.04E-04,0.65,9.12E-06,0.60,7.15E-04
1.47,4.67E-06,0.61,7.05E-04,0.64,9.35E-06,0.60,7.15E-04
1.46,4.80E-06,0.61,7.05E-04,0.64,9.58E-06,0.61,7.15E-04
1.45,4.93E-06,0.62,7.05E-04,0.63,9.82E-06,0.61,7.16E-04
1.44,5.07E-06,0.62,7.06E-04,0.63,1.01E-05,0.62,7.16E-04
1.43,5.21E-06,0.63,7.06E-04,0.62,1.03E-05,0.62,7.16E-04
1.42,5.37E-06,0.63,7.06E-04,0.62,1.06E-05,0.63,7.17E-04
1.40,5.53E-06,0.64,7.07E-04,0.62,1.08E-05,0.63,7.17E-04
1.39,5.69E-06,0.64,7.07E-04,0.61,1.11E-05,0.64,7.17E-04
1.38,5.85E-06,0.65,7.07E-04,0.61,1.13E-05,0.64,7.17E-04
1.37,6.02E-06,0.65,7.08E-04,0.60,1.16E-05,0.65,7.18E-04
1.36,6.20E-06,0.66,7.08E-04,0.60,1.19E-05,0.65,7.18E-04
1.35,6.38E-06,0.66,7.08E-04,0.59,1.21E-05,0.66,7.18E-04
1.34,6.56E-06,0.67,7.08E-04,0.59,1.24E-05,0.66,7.19E-04
1.33,6.75E-06,0.67,7.09E-04,0.59,1.27E-05,0.67,7.19E-04
1.31,6.95E-06,0.68,7.09E-04,0.58,1.30E-05,0.67,7.19E-04
1.30,7.15E-06,0.68,7.09E-04,0.58,1.33E-05,0.68,7.19E-04
1.29,7.35E-06,0.69,7.10E-04,0.57,1.36E-05,0.68,7.20E-04
1.28,7.57E-06,0.69,7.10E-04,0.57,1.39E-05,0.69,7.20E-04
1.27,7.78E-06,0.70,7.10E-04,0.56,1.42E-05,0.69,7.20E-04
1.26,8.00E-06,0.70,7.10E-04,0.56,1.45E-05,0.70,7.20E-04
1.25,8.23E-06,0.71,7.11E-04,0.56,1.48E-05,0.70,7.21E-04
1.24,8.47E-06,0.71,7.11E-04,0.55,1.52E-05,0.71,7.21E-04
1.22,8.70E-06,0.72,7.11E-04,0.55,1.55E-05,0.71,7.21E-04
1.21,8.95E-06,0.72,7.11E-04,0.54,1.58E-05,0.72,7.21E-04
1.20,9.21E-06,0.73,7.11E-04,0.54,1.62E-05,0.72,7.22E-04
1.19,9.47E-06,0.73,7.12E-04,0.53,1.65E-05,0.73,7.22E-04
1.18,9.75E-06,0.74,7.12E-04,0.53,1.69E-05,0.73,7.22E-04
1.17,1.00E-05,0.74,7.12E-04,0.53,1.72E-05,0.74,7.22E-04
