Record number,status,Jump,Cycle,Steps,Current(A),Capacity(Ah),Voltage(V),Relative Time(h:min:s.ms),Real Time(h:min:s.ms)
1,Rest,1,1,1,0.00000000,0.00000000,2.7033,0:00:00.000,2021-10-28 14:14:47
2,Rest,1,1,1,0.00000000,0.00000000,2.7027,0:00:30.000,2021-10-28 14:15:17
3,Rest,1,1,1,0.00000000,0.00000000,2.7018,0:01:00.000,2021-10-28 14:15:47
4,Rest,1,1,1,0.00000000,0.00000000,2.7008,0:01:30.000,2021-10-28 14:16:17
5,CCCV DChg,2,1,2,-0.00008785,0.00000000,2.6950,0:00:00.000,2021-10-28 14:16:17
6,CCCV DChg,2,1,2,-0.00008816,0.00000074,1.8263,0:00:30.000,2021-10-28 14:16:47
7,CCCV DChg,2,1,2,-0.00008816,0.00000147,1.7965,0:01:00.000,2021-10-28 14:17:17
8,CCCV DChg,2,1,2,-0.00008816,0.00000220,1.7531,0:01:30.000,2021-10-28 14:17:47
9,CCCV DChg,2,1,2,-0.00008823,0.00000294,1.6790,0:02:00.000,2021-10-28 14:18:17
10,CCCV DChg,2,1,2,-0.00008816,0.00000367,1.5829,0:02:30.000,2021-10-28 14:18:47
11,CCCV DChg,2,1,2,-0.00008816,0.00000441,1.4930,0:03:00.000,2021-10-28 14:19:17
12,CCCV DChg,2,1,2,-0.00008816,0.00000514,1.4313,0:03:30.000,2021-10-28 14:19:47
13,CCCV DChg,2,1,2,-0.00008816,0.00000588,1.3795,0:04:00.000,2021-10-28 14:20:17
14,CCCV DChg,2,1,2,-0.00008816,0.00000661,1.3333,0:04:30.000,2021-10-28 14:20:47
15,CCCV DChg,2,1,2,-0.00008816,0.00000735,1.2918,0:05:00.000,2021-10-28 14:21:17
16,CCCV DChg,2,1,2,-0.00008816,0.00000808,1.2537,0:05:30.000,2021-10-28 14:21:47
17,CCCV DChg,2,1,2,-0.00008816,0.00000882,1.2189,0:06:00.000,2021-10-28 14:22:17
18,CCCV DChg,2,1,2,-0.00008816,0.00000955,1.1873,0:06:30.000,2021-10-28 14:22:47
19,CCCV DChg,2,1,2,-0.00008816,0.00001029,1.1588,0:07:00.000,2021-10-28 14:23:17
20,CCCV DChg,2,1,2,-0.00008816,0.00001102,1.1325,0:07:30.000,2021-10-28 14:23:47
21,CCCV DChg,2,1,2,-0.00008816,0.00001176,1.1061,0:08:00.000,2021-10-28 14:24:17
22,CCCV DChg,2,1,2,-0.00008816,0.00001249,1.0810,0:08:30.000,2021-10-28 14:24:47
23,CCCV DChg,2,1,2,-0.00008816,0.00001322,1.0565,0:09:00.000,2021-10-28 14:25:17
24,CCCV DChg,2,1,2,-0.00008816,0.00001396,1.0329,0:09:30.000,2021-10-28 14:25:47
25,CCCV DChg,2,1,2,-0.00008816,0.00001469,1.0100,0:10:00.000,2021-10-28 14:26:17
26,CCCV DChg,2,1,2,-0.00008816,0.00001543,0.9874,0:10:30.000,2021-10-28 14:26:47
27,CCCV DChg,2,1,2,-0.00008816,0.00001616,0.9666,0:11:00.000,2021-10-28 14:27:17
28,CCCV DChg,2,1,2,-0.00008816,0.00001690,0.9458,0:11:30.000,2021-10-28 14:27:47
29,CCCV DChg,2,1,2,-0.00008816,0.00001763,0.9263,0:12:00.000,2021-10-28 14:28:17
30,CCCV DChg,2,1,2,-0.00008816,0.00001837,0.9071,0:12:30.000,2021-10-28 14:28:47
31,CCCV DChg,2,1,2,-0.00008816,0.00001910,0.8894,0:13:00.000,2021-10-28 14:29:17
32,CCCV DChg,2,1,2,-0.00008816,0.00001984,0.8727,0:13:30.000,2021-10-28 14:29:47
33,CCCV DChg,2,1,2,-0.00008816,0.00002057,0.8572,0:14:00.000,2021-10-28 14:30:17
34,CCCV DChg,2,1,2,-0.00008816,0.00002130,0.8426,0:14:30.000,2021-10-28 14:30:47
35,CCCV DChg,2,1,2,-0.00008816,0.00002204,0.8299,0:15:00.000,2021-10-28 14:31:17
36,CCCV DChg,2,1,2,-0.00008816,0.00002277,0.8206,0:15:30.000,2021-10-28 14:31:47
37,CCCV DChg,2,1,2,-0.00008816,0.00002351,0.8131,0:16:00.000,2021-10-28 14:32:17
38,CCCV DChg,2,1,2,-0.00008816,0.00002424,0.8072,0:16:30.000,2021-10-28 14:32:47
39,CCCV DChg,2,1,2,-0.00008816,0.00002498,0.8026,0:17:00.000,2021-10-28 14:33:17
40,CCCV DChg,2,1,2,-0.00008810,0.00002571,0.7970,0:17:30.000,2021-10-28 14:33:47
41,CCCV DChg,2,1,2,-0.00008816,0.00002645,0.7927,0:18:00.000,2021-10-28 14:34:17
42,CCCV DChg,2,1,2,-0.00008810,0.00002718,0.7893,0:18:30.000,2021-10-28 14:34:47
43,CCCV DChg,2,1,2,-0.00008810,0.00002792,0.7846,0:19:00.000,2021-10-28 14:35:17
44,CCCV DChg,2,1,2,-0.00008810,0.00002865,0.7815,0:19:30.000,2021-10-28 14:35:47
45,CCCV DChg,2,1,2,-0.00008810,0.00002938,0.7790,0:20:00.000,2021-10-28 14:36:17
46,CCCV DChg,2,1,2,-0.00008816,0.00003012,0.7756,0:20:30.000,2021-10-28 14:36:47
47,CCCV DChg,2,1,2,-0.00008816,0.00003085,0.7738,0:21:00.000,2021-10-28 14:37:17
48,CCCV DChg,2,1,2,-0.00008810,0.00003159,0.7703,0:21:30.000,2021-10-28 14:37:47
49,CCCV DChg,2,1,2,-0.00008810,0.00003232,0.7682,0:22:00.000,2021-10-28 14:38:17
50,CCCV DChg,2,1,2,-0.00008810,0.00003306,0.7654,0:22:30.000,2021-10-28 14:38:47
51,CCCV DChg,2,1,2,-0.00008810,0.00003379,0.7632,0:23:00.000,2021-10-28 14:39:17
52,CCCV DChg,2,1,2,-0.00008816,0.00003453,0.7604,0:23:30.000,2021-10-28 14:39:47
53,CCCV DChg,2,1,2,-0.00008810,0.00003526,0.7573,0:24:00.000,2021-10-28 14:40:17
54,CCCV DChg,2,1,2,-0.00008816,0.00003599,0.7552,0:24:30.000,2021-10-28 14:40:47
55,CCCV DChg,2,1,2,-0.00008810,0.00003673,0.7511,0:25:00.000,2021-10-28 14:41:17
56,CCCV DChg,2,1,2,-0.00008816,0.00003746,0.7483,0:25:30.000,2021-10-28 14:41:47
57,CCCV DChg,2,1,2,-0.00008816,0.00003820,0.7452,0:26:00.000,2021-10-28 14:42:17
58,CCCV DChg,2,1,2,-0.00008810,0.00003893,0.7418,0:26:30.000,2021-10-28 14:42:47
59,CCCV DChg,2,1,2,-0.00008816,0.00003967,0.7381,0:27:00.000,2021-10-28 14:43:17
60,CCCV DChg,2,1,2,-0.00008810,0.00004040,0.7344,0:27:30.000,2021-10-28 14:43:47
61,CCCV DChg,2,1,2,-0.00008810,0.00004113,0.7307,0:28:00.000,2021-10-28 14:44:17
62,CCCV DChg,2,1,2,-0.00008810,0.00004187,0.7269,0:28:30.000,2021-10-28 14:44:47
